browser,version,screenWidth,screenHeight,OS,OS_lang,ip,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrome,65,1920,1080,Windows,en-US,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialNo,type,title,content,trialText,stimFormat,target,stim1,stim2,stim3,stim4,stim5,stim6,mask,fixation,key,ITI,ISI,presTime,presTime2,random,feedbackIncorrect,feedbackCorrect,button1,button2,button3,button4,button5,button6,keyboard,select,bgColor,textColor,textSize,counterTrial,counterBlock,head,body,responseType,responseOptions,required,condition1,condition2,condition3,blockLabel,orderPres,orderFile,timestamp,response,RT,correct,responseCode
11,test,na,na,na,.jpg,Agnes_Dilley_15_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,75,350,542236,7,1903,0,
12,test,na,na,na,.jpg,Google_1_Joseph Roeder_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,131,285,674332,4,6538,0,
13,test,na,na,na,.jpg,Google_1_Teresa Sykes_17_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,297,124,1005956,8,941,0,
14,test,na,na,na,.jpg,Google_1_Brandon Meier_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,299,112,1008430,9,825,0,
15,test,na,na,na,.jpg,Google_1_Barbara Burkholder_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,354,199,1099842,9,849,0,
16,test,na,na,na,.jpg,Google_1_Virginia Saddler_13_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,120,209,629001,6,1721,0,
17,test,na,na,na,.jpg,Google_1_Nicholas Newkirk_11_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,74,244,540124,8,1512,0,
18,test,na,na,na,.jpg,Aaron_Mink_9_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,246,106,918425,5,2219,0,
19,test,na,na,na,.jpg,Google_1_Alicia Mcgann_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,198,357,831493,6,2263,0,
20,test,na,na,na,.jpg,Google_1_Rhonda Bonney_3_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,110,70,607810,9,886,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Please briefly describe the task you just completed.,na,box,na,1,na,na,na,finalQuestions,,,1145461,I rated pictures on trustworthiness ,22701,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Is there any reason why we should not use your data from any part of this experiment (i.e. you experienced technical problems; were interrupted; or did not understand the instructions)? What you write here will not affect whether or not we accept the HIT; since we understand that these factors are not in your control.,na,box,na,1,na,na,na,finalQuestions,,,1145461,No,22701,0,
