browser,version,screenWidth,screenHeight,OS,OS_lang,ip,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firefox,59,1440,900,MacOS,en-US,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialNo,type,title,content,trialText,stimFormat,target,stim1,stim2,stim3,stim4,stim5,stim6,mask,fixation,key,ITI,ISI,presTime,presTime2,random,feedbackIncorrect,feedbackCorrect,button1,button2,button3,button4,button5,button6,keyboard,select,bgColor,textColor,textSize,counterTrial,counterBlock,head,body,responseType,responseOptions,required,condition1,condition2,condition3,blockLabel,orderPres,orderFile,timestamp,response,RT,correct,responseCode
11,test,na,na,na,.jpg,Agnes_Dilley_15_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,232,58,928200,5,1426,0,
12,test,na,na,na,.jpg,Google_1_Joseph Roeder_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,18,278,391984,4,2190,0,
13,test,na,na,na,.jpg,Google_1_Teresa Sykes_17_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,96,109,583840,5,2266,0,
14,test,na,na,na,.jpg,Google_1_Brandon Meier_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,243,78,956768,6,1446,0,
15,test,na,na,na,.jpg,Google_1_Barbara Burkholder_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,200,199,846216,6,3822,0,
16,test,na,na,na,.jpg,Google_1_Virginia Saddler_13_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,189,215,816872,8,2026,0,
17,test,na,na,na,.jpg,Google_1_Nicholas Newkirk_11_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,305,344,1117968,5,2234,0,
18,test,na,na,na,.jpg,Aaron_Mink_9_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,188,279,814640,5,1912,0,
19,test,na,na,na,.jpg,Google_1_Alicia Mcgann_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,135,275,692968,5,1722,0,
20,test,na,na,na,.jpg,Google_1_Rhonda Bonney_3_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,264,223,1011544,5,1414,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Please briefly describe the task you just completed.,na,box,na,1,na,na,na,finalQuestions,,,1329876,I was rating a variety of faces on how trustworthy I found them. ,44752,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Is there any reason why we should not use your data from any part of this experiment (i.e. you experienced technical problems; were interrupted; or did not understand the instructions)? What you write here will not affect whether or not we accept the HIT; since we understand that these factors are not in your control.,na,box,na,1,na,na,na,finalQuestions,,,1329876,No,44752,0,
