browser,version,screenWidth,screenHeight,OS,OS_lang,ip,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari,11,1280,800,MacOS,en-US,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialNo,type,title,content,trialText,stimFormat,target,stim1,stim2,stim3,stim4,stim5,stim6,mask,fixation,key,ITI,ISI,presTime,presTime2,random,feedbackIncorrect,feedbackCorrect,button1,button2,button3,button4,button5,button6,keyboard,select,bgColor,textColor,textSize,counterTrial,counterBlock,head,body,responseType,responseOptions,required,condition1,condition2,condition3,blockLabel,orderPres,orderFile,timestamp,response,RT,correct,responseCode
19,test,na,na,na,.jpg,Google_1_Alicia Mcgann_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,254,240,743970,8,917,0,
1,test,na,na,na,.jpg,Google_1_Donna Mcgee_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,263,10,773674,8,1749,0,
2,test,na,na,na,.jpg,Google_1_Vicky Albright_19_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,269,257,810690,6,1110,0,
16,test,na,na,na,.jpg,Google_1_Virginia Saddler_13_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,276,145,818698,8,893,0,
14,test,na,na,na,.jpg,Google_1_Brandon Meier_7_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,279,274,823754,7,1085,0,
3,test,na,na,na,.jpg,Google_1_Melanie Shapiro_1_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,284,367,829018,8,581,0,
11,test,na,na,na,.jpg,Agnes_Dilley_15_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,328,79,886610,8,565,0,
15,test,na,na,na,.jpg,Google_1_Barbara Burkholder_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,342,252,920283,8,798,0,
9,test,na,na,na,.jpg,Google_1_Susan Stiles_19_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,362,18,958939,7,1093,0,
10,test,na,na,na,.jpg,Google_1_Susan Burbank_5_oval,trust_Scale,na,na,na,na,na,na,na,na,200,na,na,na,2,na,na,na,na,na,na,na,na,1 2 3 4 5 6 7 8 9,na,na,na,na,na,na,na,na,na,na,na,rating,na,0,rate_trust,,,971883,7,2557,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Please briefly describe the task you just completed.,na,box,na,1,na,na,na,finalQuestions,,,1056464,Identify whether the person is trustable ,84071,0,
na,form,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NEXT,na,na,na,na,na,na,na,na,na,40,na,na,Is there any reason why we should not use your data from any part of this experiment (i.e. you experienced technical problems; were interrupted; or did not understand the instructions)? What you write here will not affect whether or not we accept the HIT; since we understand that these factors are not in your control.,na,box,na,1,na,na,na,finalQuestions,,,1056464,No,84071,0,
